id,raza,tamano
abys,Abyssinian,mediano
aege,Aegean,mediano
abob,"American Bobtail",mediano
acur,"American Curl",pequeño
asho,"American Shorthair",mediano
awir,"American Wirehair",mediano
amau,"Arabian Mau",mediano
amis,"Australian Mist",mediano
bali,Balinese,pequeño
bamb,Bambino,pequeño
beng,Bengal,mediano
birm,Birman,mediano
bomb,Bombay,mediano
bslo,"British Longhair",mediano
bsho,"British Shorthair",grande
bure,Burmese,mediano
buri,Burmilla,mediano
cspa,"California Spangled",grande
ctif,Chantilly-Tiffany,mediano
char,Chartreux,mediano
chau,Chausie,mediano
chee,Cheetoh,mediano
csho,"Colorpoint Shorthair",pequeño
crex,"Cornish Rex",pequeño
cymr,Cymric,mediano
cypr,Cyprus,mediano
drex,"Devon Rex",pequeño
dons,Donskoy,grande
lihu,"Dragon Li",mediano
emau,"Egyptian Mau",mediano
ebur,"European Burmese",mediano
esho,"Exotic Shorthair",mediano
hbro,"Havana Brown",mediano
hima,Himalayan,mediano
jbob,"Japanese Bobtail",pequeño
java,Javanese,pequeño
khao,"Khao Manee",mediano
kora,Korat,mediano
kuri,Kurilian,mediano
lape,LaPerm,mediano
mcoo,"Maine Coon",grande
mala,Malayan,mediano
manx,Manx,mediano
munc,Munchkin,pequeño
nebe,Nebelung,mediano
norw,"Norwegian Forest Cat",mediano
ocic,Ocicat,mediano
orie,Oriental,pequeño
pers,Persian,mediano
pixi,Pixie-bob,mediano
raga,Ragamuffin,mediano
ragd,Ragdoll,grande
rblu,"Russian Blue",pequeño
sava,Savannah,mediano
sfol,"Scottish Fold",pequeño
srex,"Selkirk Rex",mediano
siam,Siamese,mediano
sibe,Siberian,mediano
sing,Singapura,pequeño
snow,Snowshoe,mediano
soma,Somali,mediano
sphy,Sphynx,mediano
tonk,Tonkinese,mediano
toyg,Toyger,mediano
tang,"Turkish Angora",pequeño
tvan,"Turkish Van",mediano
ycho,"York Chocolate",grande